,First Protein Name,fc_betas
342,NDUFA10,-0.09909602098297182
343,NDUFA10,-0.11435855193713744
346,NDUFA4,2.4733671209866586
347,NDUFA4,1.336947957404206
348,NDUFA4,3.301961128795714
349,NDUFA4,3.301961128795714
350,NDUFA4,3.301961128795714
351,NDUFA5,1.6125481702339455
352,NDUFA6,2.0342778038636085
355,NDUFB3,0.7384916549436037
356,NDUFS1,3.10259336257976
357,NDUFS1,-1.5457873166450855
360,NDUFS6,0.15432846468811498
361,NDUFV1,3.1847228513839094
362,NDUFV1,0.4358448049969176
363,NDUFV1,-0.8206298813771027
376,PDHB,1.30484963632423
378,PGAM2,2.7934523854676003
384,PYGM,3.348412126542191
386,SOD2,-0.7500525138661291
387,SCS-beta,-1.3888667878185574
389,UQCRC2,2.2464852927206493
390,UQCRC2,1.9990076452344903
391,UQCRC2,0.15777612113978381
392,UQCRC2,-0.4926850040320621
393,UQCRC2,-1.5872740753296983
406,CKM,8.509011546810973
407,CKM,3.2649937479915616
411,AK1,6.314940031453111
416,FABP3,5.817127563891644
417,FABP3,11.928262164826322
418,FABP3,5.395618158268571
423,ACADM,1.3558362478975303
424,ACO2,-0.12708688590965597
425,ACO2,-0.25423714068843417
426,ACO2,0.22709061804065825
427,ACO2,0.33010660067575076
428,ACO2,-0.2861815336023151
432,ATP5I,14.03833704836775
433,ATP5I,3.0688746568681493
434,ATP5I,7.908018485335568
435,ATP5I,3.0876819017192663
436,ATP5L,2.5410832000260477
437,ATP5L,-2.255315478840221
438,ATP5L,1.600864193263604
439,ATP5F1,0.25751417984223
440,ATP5F1,2.5307003925059286
441,ATP5F1,1.8494197093110267
442,ATP5F1,1.371809835414202
443,ATP5F1,2.5072503193681532
444,ATP5F1,5.293466826095481
445,ATP5F1,1.9753172297892747
446,ATP5F1,1.2204338361481222
447,ATP5F1,2.440464786100876
448,ATP5F1,1.5939651843460383
449,ATP5F1,1.3841434295623862
450,ATP5H,2.504766914698693
451,ATP5H,1.8281780558047196
452,ATP5H,1.9102318486880014
453,ATP5H,1.4745586240025446
454,ATP5H,2.671839102006503
455,ATP5H,3.3043724976098137
456,ATP5H,0.15179681329670325
457,ATP5J,2.1567062396394294
458,ATP5J,1.913090754637667
459,ATP5J,1.7670679936178209
460,ATP5O,1.5408544190879054
461,ATP5O,1.6993543672973013
462,ATP5O,2.8689949913223476
463,ATP5O,2.709206951162556
464,ATP5O,2.4026693769948215
465,ATP5O,1.5990443098813187
466,ATP5O,1.8793439569999548
467,ATP5O,1.533197490893783
468,ZCD1,-1.7939082807382578
469,COQ9,5.146972813483889
470,COX6B1,3.7344806767322
471,COX6B1,1.8355907717490705
481,ECH1,4.6985743720734146
485,ETFB,3.082967240832342
486,GATD3A,2.5075808229825967
487,GATD3A,3.0727615841817046
488,GATD3A,7.616611433499923
492,MACROD1,-0.014197103294047332
493,NUEM,0.25783370262573996
494,NUEM,0.31865192053188024
495,NDUFB1,1.750695914905622
496,NDUFB9,2.0016946203948747
502,UCP1,-3.18969184237749
505,UQCRB,1.6658574532902215
506,UQCRB,2.8489184596418133
532,MYH6,1.6774075808086226
533,MYH6,2.0060012052204685
534,MYH6,11.61755658196242
535,MYH6,7.013716627074819
536,MYH6,6.415463592352173
537,MYH6,6.692203682295903
538,MYH6,2.0060012052204685
539,MYH6,8.29740243800265
540,MYH6,2.700678471085504
541,MYH6,5.532087292791563
542,MYH6,12.445351896732317
543,MYH6,15.582440192394381
544,MYH6,1.0667959165611751
