,First Protein Name,fc_betas
139,HIST3H3,-1.7651146034813434
140,HIST3H3,-3.1018364888383236
141,HIST3H3,-1.3277425993596037
142,H4,-2.10900196510928
143,Hist3h2ba,-1.6010388387974521
144,Hist3h2ba,-1.8111224609337853
145,Hist3h2ba,-2.256769049026166
146,Hist3h2ba,-2.054595007268637
147,HMGA1,-491.6599854894809
148,HMGA1,-2.069523643888948
149,HMGA1,-2.069523643888948
150,HMGN2,-2.1537633159949396
151,HMGN2,-2.102210197069031
152,H2AFY,-1.6338083841858344
153,NFI-C,-1.757875422046297
154,SON,-5.276369814898684
155,TTF1,14.017126077509744
157,FKBP7,-2.7796169327300477
160,ACAD10,1.3568097878755083
164,ACADS,3.672517329411578
165,ACADSB,-0.5275621842246795
175,ADSL,-0.651227696296033
176,ADSSL1,0.21546848561140222
177,AK3,-1.4673272726756383
178,AK3,-1.4673272726756383
179,ALDH1B1,9.562252850575891
180,ALDH1L2,1.2791144701283002
181,ALDH2,1.5921017762213139
182,ALDH2,1.6947158853848612
183,ALDH2,1.5921017762213139
184,ALDH4A1,1.408061722987561
185,ALDH9A1,-1.1288073362511895
186,ALDOA,-3.4514537681713007
187,ALDOA,-1.7657463794946262
203,ATP5C,3.7673062156189983
204,ATP5C,1.9424118009383422
209,AUH,-0.2766990474467591
210,AUH,0.01069939364951315
211,CA3,-2.5821559963866525
212,CA3,-2.1804199631583683
213,CBR2,0.49560644706019247
214,CBR4,0.4013694290235144
215,CBR4,-1.5163843832325277
219,COQ3,1.6444492179797197
220,COQ3,3.920429597878165
225,CPT2,-3.838874478020629
226,CBP,-2.7707845096627444
227,CBP,-1.518959816058022
228,CBP,-3.699944801696504
229,CBP,-1.518959816058022
230,CBP,-1.8319204138445262
231,CBP,-3.150288678301432
232,CBP,-4.142517941612662
233,CBP,0.18174313616452162
234,CBP,-5.693499989509948
240,DBT,-0.275743997975193
241,DDX5,-2.771050747740543
242,DDX5,-2.515545701205534
245,DDX15,-2.2239993603193944
246,DLST,1.9279927635946035
247,DUS3L,-103.02729302513264
248,ECHDC1,-2.399201636774142
249,ECHS1,-0.4372752421165523
250,ENGASE,-3.5173182276466175
258,esterase D,1.4023353003237224
260,ETHE1,1.5308251340316856
261,FASN,-2.6397669472615193
262,FASN,-1.9551516031211873
263,FASN,-6.574044541285262
264,FASN,-2.0466890346096838
265,FASN,-2.1451819335516866
266,FLAD1,-0.5917725681592867
267,GAPDH,-2.3484724879590724
268,GLUD1,0.6905267747296233
269,N-PAC,-4.948283140129155
276,GPD1,-4.657545250781514
277,GSR,1.6579678702398974
278,GSR,1.6579678702398974
279,H2AX,-1.557501321370083
287,HADHB,-0.36220718016501463
288,HADHB,-0.1425048104816045
289,HADHB,-0.08413711209415048
290,HADHB,1.2057674419064126
291,HADHB,1.9079275647045808
292,HADHB,0.8331652423896415
293,HAGH,1.2333928556719416
294,HIBADH,-0.1968360507195959
295,IBA57,1.4768271735183756
296,IDH1,-1.3728867470677875
297,IDH1,0.6074943189038097
308,IDH3A,-0.24613293834389824
309,IDH3A,-1.2654740214423397
310,IDH3A,-0.5820096145252489
311,IDH3A,-0.5563497170817135
312,IDH3A,-1.256404782533143
313,IDH3A,-1.7476959679651534
315,MYST3,-2.261608494291285
316,MYST4,-2.5401055947798317
317,MYST4,-30.48223079250939
318,MYST4,-1.672565847371166
319,MYST2,-44.978073640058525
320,MYST1,-20.64006792286385
321,UTX,-3.9286804087552185
322,MLL3,-1.8640829441936329
323,SUV420H1,-3.4644395127774925
324,L2HGDH,0.32445801232482346
326,MCCC1,-1.0101841243602798
327,MCCC1,-0.10858760913085456
332,ME3,4.341314603489492
333,MECR,2.0248049733956597
334,MSRA,-3.7703766014886417
335,SKIV2L2,-1.668666524749625
336,NCL,-3.1380378735526193
337,NCL,-1.673679739041989
338,NCL,-1.8642207522298342
339,NCL,-3.779998165571435
340,NCL,-1.6053371077101333
341,NCL,-1.480685752671428
344,NDUFA2,0.12072271776452694
345,NDUFA2,1.3773521706167267
353,NDUFA7,11.145143959635408
354,NDUFA7,5.741458993772455
358,NDUFS4,1.5767555874640626
359,NDUFS4,12.679149417143739
364,NIT1,-0.14716697427161302
365,NNT,2.171331833693308
366,OGDH,-1.4414387736021748
367,OGDH,-1.4770903726511537
368,OGDH,-0.7410017868130998
369,OXCT1,-0.3690587472880836
370,PARP3,-1.2942952981691365
371,PARP3,-1.2942952981691365
372,PC,-1.9930814868609739
373,PCCB,1.3252478602916018
374,PDHA1,1.9921736080448484
375,PDHA1,-0.23109041376155107
377,PGAM1,0.4031416787072996
379,PGM1,-0.2197167796839695
380,PLCZ1,2.074841183399795
381,PPIF,2.6373627281890535
382,PRDX1,-2.208931978200359
383,PYGB,0.15644903626503173
385,quiescin Q6,1.5631330929769265
388,TALDO1,-1.3145837317756657
394,YTHDC2,0.03803730517278255
395,ZADH2,0.002101877136585273
397,RAB14,-1.653580699616351
399,SMAP1L,-0.620419039087632
401,RIC8B,0.08662408207909526
403,calpastatin,-1.2866874921701918
405,CKB,-0.4410770790576837
408,LYN,-0.43546671718166274
409,MKK3,-3.179547466086333
412,SEPHS1,0.7144084931819752
414,SDPR,-1.501231554575803
415,DBI,-1.757568311385116
419,FABP4,-2.7166839899862745
420,FABP4,-0.5204130244872079
421,FABP4,-2.130908885909708
429,ACOT2,1.5905344766602119
430,AK2,-2.334040277717138
431,ATPIF1,4.064156454998974
472,COX7C,3.3324853922600557
473,CRAT,-0.36518529986460463
474,CRAT,-0.20908745512409432
475,CRAT,0.026540173911557684
476,CRAT,-1.8727914881902648
477,DLD,0.9472192148211391
478,DLD,2.583643041809537
479,DLD,1.390641167908653
480,DLD,-0.6750678449873153
482,ETFA,1.7993238492705983
483,ETFA,1.7101765225735739
484,ETFA,-1.2097561694328751
489,glutaminase,-1.2423573989520094
490,HSDL2,0.6327374854359287
491,HSPE1,1.2716314101563408
497,NDUFV2,2.8934245568148715
498,NDUFV2,2.123983372645476
499,SUCLG1,1.253923623391535
500,SUCLG1,1.5892641754704453
501,SUCLG1,0.055388838997349664
503,UCRC,1.6274044432605694
504,UCRC,3.134882070522771
508,calponin 1,-0.64185711954373
509,calponin 1,2.3583827753094555
510,DNAH17,2.217292930432484
511,KIF5A,0.021177032647809648
512,MYH10,1.1874826155103302
513,MYH10,1.5403888987742071
514,MYH10,-1.7060412580171767
515,MYH11,0.005344169904159276
516,MYH11,0.7949409245097573
517,MYH11,-0.16131636533699462
518,MYH11,1.2702307542218296
519,MYH11,-1.9466521589708392
520,MYH11,1.3126318251894702
521,MYH11,-0.27185129451578943
522,MYH11,1.2860994100576342
523,MYH3,26.802197693868525
524,MYH3,0.38474108899387505
525,MYH3,8.045250357812437
526,MYH3,9.548706847819274
527,MYH3,0.03942980112078935
528,MYH3,5.0292089843617225
529,MYH4,0.29840771841073627
530,MYH4,7.655496158147742
531,MYH4,3.6103246035420438
560,MYH9,-1.749548482618382
561,MYH9,-4.008166574614462
562,MYH9,-1.538395407074371
563,MYH9,-2.2267644230993873
564,MYL1,5.619346635863686
581,TPM1,0.345709186499709
582,TPM1,1.788032026327585
583,TPM1,71.7387553917449
584,TPM1,3.348955980889035
585,TPM1,3.086974088919037
586,TPM2,-0.6507476811197102
588,DHRS4,1.6007574393121529
589,DHRS4,1.6007574393121529
590,TPR,-1.4644688340301086
592,RARG,-6.03167299400148
594,MEAF6,-3.7286308703531805
595,MEAF6,-1.888128203700684
596,NVL,-6.356874316625231
598,CTDP1,-1.9142884719295143
602,IMPA1,-1.6955596968650197
603,PPM1G,-2.7341209615819935
604,PPM1G,-14.28925997794319
606,CAPN2,1.8151814002883089
607,CASP7,-1.840082214271959
608,LTF,-2.421045227889238
609,PSMD9,2.7412073601000433
610,TMPRSS13,-1.526712557853119
611,TMPRSS13,-1.526712557853119
613,TIF1G,-1.6510237536823662
615,p27Kip1,-16.9773630043048
619,ABCB7,-0.037263040062774484
620,albumin,-2.201264913790929
621,AOC3,-1.1502237795320214
622,EMC7,-2.3085112554802056
630,hnRNP M,-3.6391057426645634
640,NUP133,0.1442710320842556
641,SMEK1,-1.2472873934686333
642,SLC25A1,-1.9992130011453673
643,SLC25A24,1.5036419163416297
644,SLC25A24,-0.5013216220398955
653,SLC25A5,-2.5544688533782196
654,SYNE1,3.8012788041218846
655,TMPO iso6,-7.187031945724109
656,TOMM70A,-1.5300397450618082
657,TRPV5,-3.1933792572266673
659,CPSF6,-11.95304422484892
660,NCM,-1.8860707248714819
661,DDX21,-2.166281628400571
662,FIP1L1,-20.732317683304213
663,matrin 3,-9.104563183910587
664,matrin 3,-1.926397290849531
665,PAP-alpha,-322.7036073311372
666,RBM26,-81.31130039714651
667,RBMXRT,-2.907322947235232
668,SFRS5,-24.58557541488334
669,WBP11,-6.847913356280937
671,hnRNP A0,-2.2350073787029032
672,hnRNP A1,-1.390933401267282
673,hnRNP A1,-2.32569474036365
674,hnRNP A2/B1,-3.881281907490482
675,hnRNP A3,-2.6740349893879785
676,hnRNP A/B,-2.6386176751685224
677,hnRNP C1/C2 iso2,-1.3908590285509705
678,hnRNP C1/C2 iso2,-3.8801417047028597
679,hnRNP D0 iso3,-1.3164815720692207
680,hnRNP D0 iso3,-1.7712166209256779
681,hnRNP K,-1.4851618760018048
682,hnRNP L,-2.3094102757831205
683,KHDRBS1,-4.596141862082119
684,KHSRP,-2.216921442835026
685,KHSRP,-5.355116464721072
686,KHSRP,-9.522390263337623
687,CFIM25,-2.4931048602101975
688,RALY,-6.353018244474449
689,SF3B1,-1.2880015449484679
690,ZC3H4,-5.185876959098168
691,ZFR,-3.6165996659682613
692,ZNF265,-35.29500241933143
694,BGN,0.1420695005809915
695,BGN,-0.1408231006088269
696,WISP2,1.5025861909916223
697,COL1A2,0.598723111520328
698,COL27A1,0.7468026069805754
703,FN1,-2.7560355308420603
704,FN1,-1.4219743042421438
705,FN1,0.1736972213638506
706,HDGF,-2.788863603033768
707,HSPG2,-1.8404478378062221
708,MFGE8,-0.5948516166634163
709,POSTN,0.2559504579908496
710,POSTN,-1.5450745784489686
711,POSTN,-0.27071747897525594
712,PRELP,-1.3771804864525465
714,ARID1B,-45.89956060865838
715,ASXL1,1.2702307542218296
716,Bcl-9L,-4.814688648133593
717,Bcl-9L,-2.2001751887487795
718,BCLAF1,-22.692936251344072
719,BRD8,-4.386988379134065
720,GTF3B,-6.218941417046571
721,PTRF,1.531177887196787
722,CBFB iso2,-19.504865159180223
724,ENO1,1.4911754739684455
725,p300,-2.90457324511332
726,p300,-8.47736596413611
727,p300,-2.4821407244373552
728,FLNA,1.44478094581869
729,FLNA,-1.3184607478546404
730,FLNA,-0.37042441520571856
731,FLNA,-5.160610770389805
732,FLNA,-17.949113182306952
733,FLNA,-0.20725797372632626
734,hnRNP P2,-11.21593049578614
735,HCFC1,-8.980387466367592
736,HMGB1,-7.566245555642091
737,HMGN1,-0.8670389591774262
738,hnRNP U,-2.8821209164907593
739,IFI16,-8.071633637582691
740,ING3,-1.6358125372757029
741,ING3,-8.582560396244281
742,INT4,-3.7197638285824755
743,JADE3,-2.0384794795712797
744,JunB,-27.83641299904962
745,MLL4,-8.612741377771213
746,MLL4,-21.06730963251724
747,LCORL iso5,-1.741010729163404
748,MAML1,-3.3872516159742116
749,MCRS1,-1.738664212116044
750,MED12,-5.880785719371462
751,MED12,-10.230165352148363
752,MED1,-3.743865568872735
753,MED1,-4.370399638877223
754,MED1,-4.370399638877223
755,MED1,-1.9591844928764899
756,MED6,-2.6603675257911563
757,MEF2A,-4.443706766623897
758,MEF2A,-5.0833141606986905
759,MEF2A,-6.795218645859003
760,MEF2D,-13.347719940927506
761,Myc,-9.74138334777532
762,SRC-2,-3.4911346820165416
763,SRC-2,-9.11979173719481
764,SMRT,-3.439816363015035
765,NFAT5,-9.967841677361141
766,NFI-A,-8.248169900756812
767,NOLC1,-2.1218977422580196
768,NOLC1,-2.1218977422580196
769,GR,-11.250225191446331
770,GR,-56.52451127072655
